epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.9595,2.407,1.39109,1.46293,0.58602,0.59286,0.56798,0.24394,2.50368,1.08926,1.46487,0.000904671,0.000301557,0.000904671,0.000301557,0.000904671,0.000301557,0.000904671,0.000301557
2,70.8977,2.33288,1.29941,1.44999,0.60957,0.65662,0.59011,0.2562,2.49252,1.07757,1.44994,0.00179572,0.000598572,0.00179572,0.000598572,0.00179572,0.000598572,0.00179572,0.000598572
3,97.8096,2.27435,1.20653,1.40171,0.65494,0.57429,0.61185,0.26763,2.51538,1.09456,1.4502,0.00266876,0.000889588,0.00266876,0.000889588,0.00266876,0.000889588,0.00266876,0.000889588
4,124.084,2.2355,1.1589,1.38636,0.62798,0.62547,0.59605,0.26022,2.47719,1.08531,1.43065,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003
5,150.066,2.26664,1.16496,1.38544,0.62861,0.64879,0.61046,0.25959,2.51506,1.07983,1.44374,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004
6,175.953,2.31058,1.18339,1.40582,0.65094,0.71881,0.66658,0.2921,2.52029,1.03477,1.42665,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
7,202.035,2.2872,1.17334,1.39902,0.65057,0.70151,0.6764,0.2966,2.45025,1.03404,1.40398,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
8,228.286,2.29279,1.15654,1.39278,0.66249,0.72346,0.67976,0.29231,2.5067,1.0344,1.42593,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006
9,254.047,2.27394,1.12018,1.37647,0.66946,0.70229,0.67787,0.3039,2.44689,1.03004,1.41106,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
10,279.806,2.23416,1.1023,1.37077,0.67927,0.70263,0.70548,0.31516,2.4343,1.00939,1.40057,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008
11,306.21,2.22195,1.08748,1.37325,0.6643,0.73859,0.7144,0.32386,2.4422,1.00522,1.40789,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
12,332.725,2.19257,1.06516,1.36294,0.70197,0.69094,0.70218,0.31767,2.44225,1.00659,1.4082,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001
13,358.577,2.19477,1.05272,1.37772,0.71361,0.6801,0.70603,0.32457,2.42614,1.01601,1.40357,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
14,384.382,2.17888,1.05264,1.35505,0.70468,0.72571,0.71725,0.32566,2.47366,0.99476,1.42063,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012
15,410.314,2.15583,1.03542,1.34816,0.71791,0.70646,0.71334,0.3294,2.42878,1.00337,1.40463,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013
16,436.153,2.16717,1.0224,1.34841,0.68009,0.72625,0.70275,0.32056,2.44299,1.00513,1.41126,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013
17,461.822,2.15606,1.01917,1.34204,0.70677,0.69324,0.70699,0.32078,2.4792,1.02947,1.40522,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
18,487.492,2.14105,1.00319,1.34569,0.7094,0.68424,0.7066,0.32352,2.45103,1.01996,1.40597,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015
19,513.098,2.13009,0.99551,1.34731,0.67595,0.71719,0.71635,0.32021,2.47823,1.01235,1.40538,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
20,538.954,2.10926,0.98384,1.33072,0.69237,0.71531,0.73161,0.32293,2.45017,1.02249,1.40307,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017
21,564.748,2.11015,0.98691,1.32721,0.72671,0.68682,0.73046,0.32982,2.47758,1.00019,1.40446,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
22,590.62,2.08234,0.96388,1.33119,0.67913,0.75,0.73358,0.3251,2.4767,1.00725,1.41274,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019
23,616.561,2.09756,0.96526,1.31579,0.71374,0.69885,0.72623,0.32573,2.4527,0.99083,1.40547,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
24,642.603,2.05413,0.94642,1.31222,0.72329,0.68965,0.71908,0.32905,2.45091,1.00225,1.40501,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021
25,667.922,2.04292,0.93399,1.30284,0.72312,0.70735,0.72825,0.3255,2.45552,1.03756,1.41688,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
26,693.393,2.03558,0.93594,1.30479,0.77375,0.66134,0.73087,0.32929,2.43931,1.02417,1.39812,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022
27,719.197,2.04696,0.9294,1.30796,0.72275,0.70661,0.72828,0.3325,2.49386,1.00733,1.41285,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023
28,744.984,2.025,0.91728,1.29983,0.7251,0.69358,0.73379,0.33026,2.48259,1.00343,1.41564,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024
29,770.55,2.00889,0.91031,1.30602,0.72207,0.70246,0.71841,0.3233,2.49155,1.0171,1.42458,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025
